pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,45.121711598010734,46.07233065000037,46.07233065000037,46.07233065000037,46.07233065000037,46.12918908399297,47.07831012198585,47.07831012198585,x,1,0.8249601410061587,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,0,1,1,1,,,,,47.95186130699585,48.93989481500466,48.93989481500466,48.93989481500466,48.93989481500466,48.97154915999272,49.945188031008,49.945188031008,v,1,0.7391728580114432,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,0,2,2,2,,,,,50.70475572999567,51.68873016300495,51.68873016300495,51.68873016300495,51.68873016300495,51.705582414986566,52.70278584898915,52.70278584898915,v,0,0.6135906819836237,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,0,3,3,3,,,,,53.35217807799927,54.33106677699834,54.33106677699834,54.33106677699834,54.33106677699834,54.36808213198674,55.32946404299582,55.32946404299582,z,1,0.6809952449984848,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,1,0,4,0,,,,,56.02943362199585,57.02327459701337,57.02327459701337,57.02327459701337,57.02327459701337,57.044467769999756,58.01875616100733,58.01875616100733,x,1,0.7016111550037749,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,1,1,5,1,,,,,58.756131261005066,59.759751069010235,59.759751069010235,59.759751069010235,59.759751069010235,59.759751069010235,60.74832016599248,60.74832016599248,v,1,0.5888246880203951,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,1,2,6,2,,,,,61.356643348000944,62.34539499899256,62.34539499899256,62.34539499899256,62.34539499899256,62.36396730600973,63.3544723209925,63.3544723209925,c,1,0.5750436900125351,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,1,3,7,3,,,,,63.948738682986004,64.94686071600881,64.94686071600881,64.94686071600881,64.94686071600881,64.96409302999382,65.95310573800816,65.95310573800816,z,1,0.6636692360043526,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,2,0,8,0,,,,,66.6504787360027,67.65292583199334,67.65292583199334,67.65292583199334,67.65292583199334,67.6696830590081,68.6504806689918,68.6504806689918,x,1,0.6390213420090731,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,2,1,9,1,,,,,69.31281972199213,70.3063648279931,70.3063648279931,70.3063648279931,70.3063648279931,70.3254154509923,71.30193396098912,71.30193396098912,v,1,0.6326225849916227,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,2,2,10,2,,,,,71.96088921400951,72.96394006899209,72.96394006899209,72.96394006899209,72.96394006899209,72.9841585480026,73.95717414500541,73.95717414500541,c,1,0.6030501040222589,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,2,3,11,3,,,,,74.59864081200794,75.59511712999665,75.59511712999665,75.59511712999665,75.59511712999665,75.61312210699543,76.59670811399701,76.59670811399701,z,1,0.6479272870055865,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,3,0,12,0,,,,,77.27959619800095,78.27159006698639,78.27159006698639,78.27159006698639,78.27159006698639,78.28881663098582,79.27185784099856,79.27185784099856,x,1,0.5640191720158327,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,3,1,13,1,,,,,79.86717169798794,80.85745144198881,80.85745144198881,80.85745144198881,80.85745144198881,80.8764547430037,81.85429025400663,81.85429025400663,v,1,0.5578041789995041,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,3,2,14,2,,,,,82.43773233398679,83.42220744199585,83.42220744199585,83.42220744199585,83.42220744199585,83.4423392470053,84.43659015398589,84.43659015398589,c,1,0.7168958270049188,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,3,3,15,3,,,,,85.18730191199575,86.18977694300702,86.18977694300702,86.18977694300702,86.18977694300702,86.18977694300702,87.17799376900075,87.17799376900075,z,1,0.6320833580102772,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,4,0,16,0,,,,,87.84986968300655,88.83873418200528,88.83873418200528,88.83873418200528,88.83873418200528,88.85681948199635,89.83971226398717,89.83971226398717,x,1,0.6016162720043212,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,4,1,17,1,,,,,90.47797464000178,91.48369983999874,91.48369983999874,91.48369983999874,91.48369983999874,91.5029445879918,92.46579092298634,92.46579092298634,v,1,0.7268506000109483,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,4,2,18,2,,,,,93.22665181598859,94.20819678599946,94.20819678599946,94.20819678599946,94.20819678599946,94.24529659099062,95.21808962398791,95.21808962398791,c,1,0.5990127630066127,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,4,3,19,3,,,,,95.8380201490072,96.82333414300228,96.82333414300228,96.82333414300228,96.82333414300228,96.84165780901094,97.83070251101162,97.83070251101162,z,1,0.7067599380097818,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,5,0,20,0,,,,,98.5667185439961,99.5643082819879,99.5643082819879,99.5643082819879,99.5643082819879,99.58437793698977,100.5516897260095,100.5516897260095,x,1,0.5640232760051731,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,5,1,21,1,,,,,101.1371455930057,102.13871988101164,102.13871988101164,102.13871988101164,102.13871988101164,102.15638508400298,103.13759828498587,103.13759828498587,v,1,0.6329548030043952,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,5,2,22,2,,,,,103.79745115101105,104.79939182600356,104.79939182600356,104.79939182600356,104.79939182600356,104.82111871000961,105.79198286199244,105.79198286199244,c,1,0.6769197410030756,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,5,3,23,3,,,,,106.50342687001103,107.50051803700626,107.50051803700626,107.50051803700626,107.50051803700626,107.52076504199067,108.50580899600754,108.50580899600754,z,1,0.6233896329940762,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-50,x,6,0,24,0,,,,,109.16004134700052,110.14769784500822,110.14769784500822,110.14769784500822,110.14769784500822,110.16725113001303,111.15288261999376,111.15288261999376,x,1,0.6129496290232055,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
150,v,6,1,25,1,,,,,111.78746612099349,112.7739491139946,112.7739491139946,112.7739491139946,112.7739491139946,112.79553289999603,113.78100778098451,113.78100778098451,v,1,0.6183762590226252,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
50,c,6,2,26,2,,,,,114.4227047880122,115.4155814400001,115.4155814400001,115.4155814400001,115.4155814400001,115.43245669201133,116.41699479799718,116.41699479799718,c,1,0.5908453199954238,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
-150,z,6,3,27,3,,,,,117.03023596398998,118.03726193599869,118.03726193599869,118.03726193599869,118.03726193599869,118.07984978199238,119.0275754739996,119.0275754739996,z,1,0.5712575270154048,t4.2,02,2022-10-04_11h41.45.106,tutorial 4,2022.2.2,60.12021819254686,
